"id","week","date","enjoy","difficulty"
"Anon1",1,"2025-02-03",0.9975880514,0.2492773729
"Anonymous ID",1,"2025-02-03",0.8879945286,0.3448021886
"Anonymous ID2",1,"2025-02-03",0.6604344245,0.7031156837
"Catling",1,"2025-02-03",0.962767207,0.4180695847
"Dasani",1,"2025-02-03",0.7337433444,0.09782421656
"Juaquín",1,"2025-02-03",0.7305665349,0.09705753184
"Jukun Zhang",1,"2025-02-03",1,0.5016835531
"Lolex",1,"2023-01-30",0.9610924341,0.355031828
"anon86_a",1,"2023-01-30",1,0.4180695847
"apricot_a",1,"2025-02-03",0.914134838,0.7252121914
"cervatillo silvestre",1,"2023-01-30",0.5136363636,0.5136363636
"charleshsueh",1,"2025-02-03",0.7946127946,0.1386083053
"dusty",1,"2023-01-30",0.3275391721,0.6670808289
"greentruck",1,"2025-02-03",0.4980534512,0.3116319444
"jz",1,"2025-02-03",0.1184062922,0.8703704275
"knf43",1,"2025-02-03",0.914134838,0.05199418958
"lingcat",1,"2023-01-30",0.9949845679,0.4806309624
"me",1,"2023-01-30",0.9997895623,0.00547138047
"mmmerlinski",1,"2025-02-03",1,0.2328424431
"notasuperhero",1,"2023-01-30",0.3950609749,0.3788278154
"pear",1,"2025-02-03",0.6604344245,0.00141547411
"sherlock_holmes",1,"2023-01-30",0.9465573158,0.1782009069
"spiderman",1,"2023-01-30",0.930228208,0.1230826858
"sunflower_a",1,"2023-01-30",0.8696689113,0.168084616
"syntaxisscary",1,"2023-01-30",0.4337822671,0
"Anon1",2,"2025-02-10",1,0.2955646287
"Anonymous ID",2,"2025-02-10",0.758486198275,0.3004699775525
"Anonymous ID2",2,"2025-02-10",0.7683080808,0.06176469721
"Catling",2,"2023-02-06",1,0.2659538089
"Dasani",2,"2025-02-10",0.7684667996,0.4034958828
"Juaquín",2,"2025-02-10",0.8436539306,0.2496706192
"Jukun Zhang",2,"2025-02-10",1,0.4941077955
"Lolex",2,"2023-02-06",0.471006417,0.6075570805
"anon86_a",2,"2025-02-10",0.9197530864,0.2082979326
"apricot_a",2,"2023-02-06",0.5078207202,0.5078207202
"cervatillo silvestre",2,"2023-02-06",0.5611111111,0.4212121212
"charleshsueh",2,"2025-02-10",0.9377104377,0.5401234568
"dusty",2,"2023-02-06",0.1871358784,0.6605128707
"greentruck",2,"2025-02-10",0.8964076529,0.1834666105
"jz",2,"2025-02-10",1,0.2492773729
"knf43",2,"2025-02-10",0.8486287937,0.563113046
"lingcat",2,"2025-02-10",0.9723157501,0.355031828
"me",2,"2023-02-06",0.9879524411,0.2330071549
"mmmerlinski",2,"2025-02-10",1,1
"notasuperhero",2,"2023-02-06",0.505637292,0.5333519795
"pear",2,"2025-02-10",0.6649769251,0.4446141227
"sherlock_holmes",2,"2023-02-06",0.9564566564,0.1953728844
"spiderman",2,"2023-02-06",0.9161990273,0.1324354729
"sunflower_a",2,"2025-02-10",0.7824542142,0.4772727273
"syntaxisscary",2,"2023-02-06",0.2474747475,0.1318742985
"Anon1",3,"2025-02-17",0.590119893,0.7500213222
"Anonymous ID",3,"2025-02-17",0.5518863599,0.602795078733333
"Anonymous ID2",3,"2025-02-17",1,0.2955646287
"Catling",3,"2023-02-13",1,0.7252121914
"Dasani",3,"2025-02-17",0.7845795329,0.4859192374
"Juaquín",3,"2025-02-17",0.9024621212,0.1139169473
"Jukun Zhang",3,"2025-02-17",1,0.491582543
"Lolex",3,"2023-02-13",0.5448933782,0.6141040601
"anon86_a",3,"2023-02-13",0.8490460157,0.5808080808
"apricot_a",3,"2025-02-17",1,0.4941077955
"cervatillo silvestre",3,"2023-02-13",0.5994949495,0.5242424242
"charleshsueh",3,"2025-02-17",0.9225589226,0.1139169473
"dusty",3,"2023-02-13",0.45767688,0.5682976548
"greentruck",3,"2025-02-17",0.7556686658,0.5662659582
"jz",3,"2025-02-17",1,0.4941077955
"knf43",3,"2025-02-17",0.8296272914,0.614644711
"lingcat",3,"2025-02-17",0.8972011785,0.4553872311
"me",3,"2023-02-13",0.8972011785,0.3237584175
"mmmerlinski",3,"2025-02-17",1,0.2743793071
"notasuperhero",3,"2023-02-13",0.5867920607,0.5666597069
"pear",3,"2025-02-17",1,0.4941077955
"sherlock_holmes",3,"2023-02-13",0.9246971396,0.6382730572
"spiderman",3,"2023-02-13",1,0.1118593341
"sunflower_a",3,"2023-02-13",0.6567218147,0.04551300037
"syntaxisscary",3,"2023-02-13",0.9287317621,0
"Anon1",4,"2025-02-24",0.9204425822,0.2927593191
"Anonymous ID",4,"2025-02-24",0.8465991902,0.4986862257
"Anonymous ID2",4,"2025-02-24",0.9465573158,0.6382730572
"Catling",4,"2025-02-24",0.7305665349,0.5486637205
"Dasani",4,"2025-02-24",0.6952673573,0.7018601132
"Juaquín",4,"2025-02-24",0.7009222661,0.2364953887
"Jukun Zhang",4,"2025-02-24",1,0.4814815329
"Lolex",4,"2023-02-25",0.6702207258,0.4027310138
"anon86_a",4,"2025-02-24",0.1743571649,0.6393565853
"apricot_a",4,"2025-02-24",0.980756322,0.2082979326
"cervatillo silvestre",4,"2023-02-22",0.2976773405,0.6266265206
"charleshsueh",4,"2025-02-24",0.911335578,0.2514029181
"dusty",4,"2025-02-24",0.758486198275,0.01139299977
"greentruck",4,"2025-02-24",0.962767207,0.5075757576
"jz",4,"2025-02-24",0.5078207202,0.5013152357
"knf43",4,"2025-02-24",0.773952634,0.6074036078
"lingcat",4,"2025-02-24",0.6174791392,0.6627384961
"me",4,"2023-02-20",0.9024621212,0.236952862
"mmmerlinski",4,"2025-02-24",1,0.2082979326
"notasuperhero",4,"2023-02-21",0.5685113806,0.5415891911
"pear",4,"2025-02-24",0.7469007952,0.6571112719
"sherlock_holmes",4,"2025-02-24",0.505637292,0.4976944019
"spiderman",4,"2023-02-20",0.9910213244,0.1015712825
"sunflower_a",4,"2023-02-20",0.4922588985,0.2276209516
"syntaxisscary",4,"2023-02-21",0.9197530864,0.07575757576
"Anon1",5,"2025-03-03",0.9996920176,0.5003506268
"Anonymous ID",5,"2023-02-27",0.401010101,0.3898989899
"Anonymous ID",5,"2025-03-03",0.7678665681,0.5324250679
"Anonymous ID2",5,"2023-02-27",0.4584736251,0.06565656566
"Catling",5,"2023-02-27",1,0.485001929
"Dasani",5,"2025-03-03",0.7965222154,0.7031156837
"Juaquín",5,"2025-03-03",0.8591471114,0.4034958828
"Jukun Zhang",5,"2025-03-03",1,0.5075757576
"Lolex",5,"2023-02-27",0.5944632071,0.3410026473
"anon86_a",5,"2025-03-03",0.9910213244,0
"apricot_a",5,"2025-03-03",0.2762626263,0.8368477527
"cervatillo silvestre",5,"2025-03-03",0.8486287937,0.4859192374
"charleshsueh",5,"2025-03-03",0.9197530864,0.1997755331
"dusty",5,"2023-02-27",0.4185419736,0.7418412916
"greentruck",5,"2025-03-03",0.5042043701,0.3778935185
"jz",5,"2025-03-03",0.4663299806,0.4663299806
"knf43",5,"2025-03-03",0.7688524422,0.3091410342
"lingcat",5,"2025-03-03",1,0.1324354729
"me",5,"2023-02-27",0.7683080808,0.5486637205
"mmmerlinski",5,"2025-03-03",0.6674149467,0.5242424242
"notasuperhero",5,"2023-02-27",0.5675172816,0.5698212047
"pear",5,"2025-03-03",0.8490460157,0.4859192374
"sherlock_holmes",5,"2023-02-27",0.9248481177,0.3064777276
"spiderman",5,"2023-02-27",0.9723157501,0.1109240696
"sunflower_a",5,"2023-02-27",0.7088385509,0.2184602306
"syntaxisscary",5,"2025-03-03",0.6567218147,0.5666597069
"Anon1",6,"2025-03-10",0.9996920176,0.2282377112
"Anonymous ID",6,"2025-03-10",0.7652702517,0.53471126195
"Anonymous ID2",6,"2025-03-10",0.494388342,0.6670808289
"Catling",6,"2023-03-06",0.7379392887,0.7545594837
"Dasani",6,"2025-03-10",0.5912269395,0.8068392804
"Juaquín",6,"2025-03-10",0.7646025472,0.3616600791
"Jukun Zhang",6,"2025-03-10",1,0.4553872311
"Lolex",6,"2023-03-06",0.6674149467,0.6627384961
"anon86_a",6,"2025-03-10",0.9161990273,0.4539141414
"apricot_a",6,"2023-03-06",0.3713239162,0.5404310986
"cervatillo silvestre",6,"2023-03-06",0.2762626263,0.6606060606
"charleshsueh",6,"2025-03-10",0.88664422,0.08978675645
"dusty",6,"2023-03-06",0.5501754196,0.6383676582
"greentruck",6,"2025-03-10",0.9141457983,0.4539141414
"jz",6,"2025-03-10",0.494388342,0.6992143944
"knf43",6,"2025-03-10",0.7941594039,0.182379349
"lingcat",6,"2025-03-10",0.7305665349,0.610479798
"me",6,"2023-03-06",0.7130681818,0.610479798
"mmmerlinski",6,"2025-03-10",0.4990559804,0.4990559804
"notasuperhero",6,"2023-03-06",0.6421867054,0.6729035554
"pear",6,"2025-03-10",0.5970884374,0.4731786376
"sherlock_holmes",6,"2023-03-06",0.9698341887,0.711735713
"spiderman",6,"2023-03-06",1,0.279274238
"sunflower_a",6,"2023-03-06",0.9621696462,0.3781340188
"syntaxisscary",6,"2025-03-10",0.9996920176,0.2282377112
"Anon1",7,"2025-03-24",0.980756322,0.3123963581
"Anonymous ID",7,"2025-03-24",0.556223210566667,0.637277360766667
"Anonymous ID2",7,"2025-03-24",0.6954733081,0.6729035554
"Catling",7,"2025-03-24",0.4817726829,0.4824330259
"Dasani",7,"2025-03-24",0.4781906522,0.6481458191
"Juaquín",7,"2025-03-24",0.6811594203,0.3649538867
"Jukun Zhang",7,"2025-03-24",1,0.4654882412
"Lolex",7,"2023-03-20",0.6487093154,0.5336700337
"anon86_a",7,"2025-03-24",0.3623912053,0.6606060606
"apricot_a",7,"2025-03-24",0.619675011,0.4231444884
"cervatillo silvestre",7,"2023-03-20",0.5853535354,0.3212121212
"charleshsueh",7,"2025-03-24",0.8372615039,0.1621773288
"dusty",7,"2023-03-20",0.4961438934,0.7166589123
"greentruck",7,"2025-03-24",0.5970884374,0.7154583152
"jz",7,"2025-03-24",0.2976773405,0.7020201877
"knf43",7,"2025-03-24",0.2976773405,0.8703704275
"lingcat",7,"2025-03-24",0.8540965208,0.3335204319
"me",7,"2025-03-24",0.8696689113,0.01139299977
"mmmerlinski",7,"2025-03-24",1,0.1941376381
"notasuperhero",7,"2023-03-20",0.5209412923,0.687535484
"pear",7,"2025-03-24",0.3623912053,0.5712121212
"sherlock_holmes",7,"2023-03-20",0.7941594039,0.6405066556
"spiderman",7,"2023-03-20",0.9395809951,0.215675257
"sunflower_a",7,"2023-03-20",0.6617405871,0.339269848
"syntaxisscary",7,"2025-03-24",0.4663299806,0.6016233982
"Anon1",8,"2025-03-31",0.9744444235,0.04589393331
"Anonymous ID",8,"2025-03-31",0.62411803355,0.33230816505
"Anonymous ID2",8,"2025-03-31",0.4980534512,0.5003506268
"Catling",8,"2023-03-27",0.9987329896,0.8385811237
"Dasani",8,"2025-03-31",0.3623912053,0.8368477527
"Juaquín",8,"2025-03-31",0.6174791392,0.4231444884
"Jukun Zhang",8,"2025-03-31",1,0.5092593106
"Lolex",8,"2023-03-27",0.6954733081,0.3905723906
"anon86_a",8,"2025-03-31",0.6487093154,0.6383676582
"apricot_a",8,"2025-03-31",0.303030303,0.8703704275
"cervatillo silvestre",8,"2023-03-27",0.303030303,0.5742424242
"charleshsueh",8,"2025-03-31",0.8271604938,0.182379349
"dusty",8,"2023-03-27",0.1743571649,0.8653569933
"greentruck",8,"2025-03-31",0.8266913931,0.5109909863
"jz",8,"2025-03-31",0.257762799,0.7020201877
"knf43",8,"2025-03-31",1,0.04589393331
"lingcat",8,"2025-03-31",0.5501754196,0.7166589123
"me",8,"2023-03-27",0.7329416615,0.8741496599
"mmmerlinski",8,"2025-03-31",0.8643915793,0.2857075427
"notasuperhero",8,"2023-03-27",0.3215586858,0.8224211927
"pear",8,"2025-03-31",0.9949845679,0.06176469721
"sherlock_holmes",8,"2025-03-31",0.7941594039,0.4027310138
"spiderman",8,"2023-03-27",0.8591471114,0.3335204319
"sunflower_a",8,"2025-03-31",0.4961438934,0.4842873176
"syntaxisscary",8,"2023-03-27",0.4842873176,0.4842873176
"Anon1",9,"2025-04-07",0.9505993879,0.7044353456
"Anonymous ID",9,"2025-04-07",0.8490460157,0.2070707071
"Anonymous ID2",9,"2025-04-07",0.6954733081,0.3212121212
"Catling",9,"2023-04-03",0.6308668974,0.7154583152
"Dasani",9,"2025-04-07",0.384232338,0.7042488415
"Juaquín",9,"2025-04-07",0.5307422047,0.4824330259
"Jukun Zhang",9,"2025-04-07",1,0.4772727273
"Lolex",9,"2023-04-03",0.3138795504,0.6393565853
"anon86_a",9,"2025-04-07",0.8486287937,0.7545594837
"apricot_a",9,"2025-04-07",0.3215586858,0.5742424242
"cervatillo silvestre",9,"2023-04-03",0.3631313131,0.5712121212
"charleshsueh",9,"2025-04-07",0.8465991902,0.610479798
"dusty",9,"2023-04-03",0.4817726829,0.6016233982
"greentruck",9,"2025-04-07",0.9312701669,0.5103728255
"jz",9,"2025-04-07",0.1885381632,0.8722789648
"knf43",9,"2025-04-07",0.5675172816,0.4842873176
"lingcat",9,"2025-04-07",0.7845795329,0.8741496599
"me",9,"2023-04-03",0.444760101,0.6959701178
"mmmerlinski",9,"2025-04-07",1,0.06176469721
"notasuperhero",9,"2023-04-03",0.5501290438,0.7002112049
"pear",9,"2025-04-07",0.4522994499,0.3579717194
"sherlock_holmes",9,"2025-04-07",0.3623912053,0.6393565853
"spiderman",9,"2023-04-03",0.7824542142,0.2661803217
"sunflower_a",9,"2025-04-07",1,0.09782421656
"syntaxisscary",9,"2025-04-07",0.6674149467,0.7154583152
"Anon1",10,"2025-04-14",0.5003506268,0.5003506268
"Anonymous ID",10,"2025-04-14",0.6893939394,0.5013152357
"Anonymous ID2",10,"2025-04-14",0.4781906522,0.6605128707
"Catling",10,"2025-04-14",0.9723157501,0.6571112719
"Dasani",10,"2025-04-14",0.1569188521,0.8757236536
"Juaquín",10,"2025-04-14",0.619675011,0.4703557312
"Jukun Zhang",10,"2025-04-14",1,0.4974747475
"Lolex",10,"2025-04-14",0.5685113806,0.5003506268
"anon86_a",10,"2025-04-14",0.5970884374,0.7418412916
"apricot_a",10,"2025-04-14",0.9698341887,0.1621773288
"cervatillo silvestre",10,"2025-04-14",0.7845795329,0.5333519795
"charleshsueh",10,"2025-04-14",0.8540965208,0.120650954
"dusty",10,"2025-04-14",0.5136363636,0.3579717194
"greentruck",10,"2025-04-14",0.8098344557,0.4394728535
"jz",10,"2025-04-14",0.1385191345,0.9485955515
"knf43",10,"2025-04-14",0.9987329896,0.6388888889
"lingcat",10,"2025-04-14",0.8591471114,0.3208122228
"me",10,"2025-04-14",0.9377104377,0.4446141227
"mmmerlinski",10,"2025-04-14",1,0.07896724252
"notasuperhero",10,"2025-04-14",0.7469007952,0.5013152357
"pear",10,"2025-04-14",0.6670850232,0.4976944019
"sherlock_holmes",10,"2025-04-14",0.8465991902,0.5242424242
"spiderman",10,"2025-04-14",0.3623912053,0.7020201877
"sunflower_a",10,"2025-04-14",0.9225589226,0.2070707071
"syntaxisscary",10,"2025-04-14",0.8643915793,0.610479798
"Anon1",11,"2025-04-21",0.8475050454,0.3208122228
"Anonymous ID",11,"2025-04-21",0.5157828283,0.5157828283
"Anonymous ID2",11,"2025-04-21",1,0.6571112719
"Catling",11,"2025-04-21",0.9698341887,0.53471126195
"Dasani",11,"2025-04-21",0.2293527862,0.8152402799
"Juaquín",11,"2025-04-21",0.6635924462,0.5406236276
"Jukun Zhang",11,"2025-04-21",1,0.6388888889
"Lolex",11,"2025-04-21",0.6893939394,0.06565656566
"anon86_a",11,"2025-04-21",0.5042043701,0.7042488415
"apricot_a",11,"2025-04-21",0.88664422,0.5242424242
"cervatillo silvestre",11,"2025-04-21",0.7678665681,0.5013152357
"charleshsueh",11,"2025-04-21",0.8748597082,0.1492704826
"dusty",11,"2025-04-21",0.619675011,0.4824330259
"greentruck",11,"2025-04-21",0.9031065867,0.2438885382
"jz",11,"2025-04-21",0.1302584812,0.8832831512
"knf43",11,"2025-04-21",0.619675011,0.3898989899
"lingcat",11,"2025-04-21",0.5209412923,0.7042488415
"me",11,"2025-04-21",0.6567218147,0.4824330259
"mmmerlinski",11,"2025-04-21",0.962767207,0.01139299977
"notasuperhero",11,"2025-04-21",0.1184062922,0.8152402799
"pear",11,"2025-04-21",0.5428532125,0.4575804289
"sherlock_holmes",11,"2025-04-21",0.9987329896,0.1621773288
"spiderman",11,"2025-04-21",0.773952634,0
"sunflower_a",11,"2025-04-21",0.7329416615,0.637277360766667
"syntaxisscary",11,"2025-04-21",0.5518863599,0.1318742985
